,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
120,0.20224105974604667,0.9367746349750076,12000.0,351266.9955000328,5891341.613430088,5270867.531412987,351266.9955000328,5891341.613430088,5270867.531412987
121,0.23587449561943408,0.9843778791155732,12100.0,-296155.0647415472,5716952.310845271,5475797.642352533,-296155.0647415472,5716952.310845271,5475797.642352533
122,0.2686177091630658,1.0346952132315448,12200.0,-941210.444287621,5496823.657831728,5636919.357631451,-941210.444287621,5496823.657831728,5636919.357631451
123,0.30026817950655865,1.0882601178490157,12300.0,-1578759.436476168,5232842.683965167,5753072.440138727,-1578759.436476168,5232842.683965167,5753072.440138727
124,0.3305573334020277,1.145725736333401,12400.0,-2203744.5198852024,4927211.856653826,5823436.093778311,-2203744.5198852024,4927211.856653826,5823436.093778311
125,0.3591211931954077,1.2079027017228954,12500.0,-2811221.382770216,4582432.223751988,5847530.891148573,-2811221.382770216,4582432.223751988,5847530.891148573
126,0.3854551285858304,1.2758104663648073,12600.0,-3396389.0025868197,4201285.615438956,5825219.292372054,-3396389.0025868197,4201285.615438956,5825219.292372054
127,0.40884246283636694,1.3507466538764805,12700.0,-3954618.0039721513,3786816.548653622,5756704.9122931,-3954618.0039721513,3786816.548653622,5756704.9122931
128,0.4282395361679502,1.434379798718843,12800.0,-4481480.411161193,3342311.649984776,5642530.273768215,-4481480.411161193,3342311.649984776,5642530.273768215
129,0.44208687685342446,1.5288673972905016,12900.0,-4972774.735697663,2871281.072826896,5483573.769430892,-4972774.735697663,2871281.072826896,5483573.769430892
130,0.4479964904172718,1.6369929893815434,13000.0,-5424554.19110878,2377436.099121165,5281044.852788609,-5424554.19110878,2377436.099121165,5281044.852788609
131,0.44223867281850227,1.7622834178493827,13100.0,-5833151.821990421,1864667.5973685465,5036478.275971286,-5833151.821990421,1864667.5973685465,5036478.275971286
